trade_id,window_ts,asset,market_slug,condition_id,clob_order_id,placed_at,resolved_at,direction,entry_price,stake_usd,entry_reason,config_version,source_agreement,delta_chainlink,delta_tiingo,vpin_at_entry,regime,eval_tier,dynamic_cap,order_type,oracle_outcome,trade_outcome,pnl_usd,payout_usd,resolution_source,is_live,notes,created_at
1210,1775721300,BTC,,,,2026-04-09T07:58:44.341094+00:00,2026-04-09T08:06:51.252191+00:00,NO,0.6800,3.40,v10_DUNE_NORMAL_T82_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.252191+00:00
1208,1775721600,BTC,,,,2026-04-09T08:03:25.876738+00:00,2026-04-09T08:06:51.043938+00:00,NO,0.6800,3.40,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:06:51.043938+00:00
1228,1775721900,BTC,,,,2026-04-09T08:07:18.723718+00:00,2026-04-09T08:35:49.961299+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T168_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T08:35:49.961299+00:00
1229,1775724600,BTC,,,,2026-04-09T08:53:21.714851+00:00,2026-04-09T08:57:47.793353+00:00,NO,0.6800,8.19,v10_DUNE_TRANSITION_T104_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,3.8500,,trigger,True,,2026-04-09T08:57:47.793353+00:00
1231,1775726700,BTC,,,,2026-04-09T09:28:39.759732+00:00,2026-04-09T09:33:38.198987+00:00,NO,0.6800,8.33,v10_DUNE_TRANSITION_T86_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-8.3300,,trigger,True,,2026-04-09T09:33:38.198987+00:00
1232,1775727000,BTC,,,,2026-04-09T09:32:18.377421+00:00,2026-04-09T09:37:42.820089+00:00,YES,0.6800,6.63,v10_DUNE_TRANSITION_T168_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-6.6300,,trigger,True,,2026-04-09T09:37:42.820089+00:00
1233,1775727600,BTC,,,,2026-04-09T09:42:34.305202+00:00,2026-04-09T09:48:56.564131+00:00,YES,0.6800,5.27,v10_DUNE_TRANSITION_T152_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,2.4800,,trigger,True,,2026-04-09T09:48:56.564131+00:00
1234,1775728200,BTC,,,,2026-04-09T09:52:19.514437+00:00,2026-04-09T09:56:07.150920+00:00,YES,0.6800,4.25,v10_DUNE_TRANSITION_T168_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,2.0000,,trigger,True,,2026-04-09T09:56:07.150920+00:00
1235,1775728800,BTC,,,,2026-04-09T10:03:25.856569+00:00,2026-04-09T10:08:20.466964+00:00,NO,0.6800,4.93,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,2.3200,,trigger,True,,2026-04-09T10:08:20.466964+00:00
1236,1775729400,BTC,,,,2026-04-09T10:13:23.983072+00:00,2026-04-09T10:18:33.903874+00:00,NO,0.6800,6.82,v10_DUNE_TRANSITION_T102_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,3.2100,,trigger,True,,2026-04-09T10:18:33.903874+00:00
1237,1775729700,BTC,,,,2026-04-09T10:17:52.559154+00:00,2026-04-09T10:23:41.032392+00:00,YES,0.6800,6.29,v10_DUNE_CASCADE_T134_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,2.9600,,trigger,True,,2026-04-09T10:23:41.032392+00:00
1238,1775730900,BTC,,,,2026-04-09T10:38:26.355429+00:00,2026-04-09T10:43:43.365466+00:00,YES,0.6800,5.95,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,2.8000,,trigger,True,,2026-04-09T10:43:43.365466+00:00
1239,1775731200,BTC,,,,2026-04-09T10:43:25.989770+00:00,2026-04-09T10:47:51.793823+00:00,NO,0.6800,7.14,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-7.1400,,trigger,True,,2026-04-09T10:47:51.793823+00:00
1240,1775731500,BTC,,,,2026-04-09T10:47:19.542793+00:00,2026-04-09T10:51:54.907330+00:00,YES,0.6800,6.62,v10_DUNE_TRANSITION_T168_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-6.6200,,trigger,True,,2026-04-09T10:51:54.907330+00:00
1241,1775732700,BTC,,,,2026-04-09T11:08:44.556917+00:00,2026-04-09T11:13:27.284451+00:00,NO,0.6800,8.16,v10_DUNE_NORMAL_T82_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,3.8400,,trigger,True,,2026-04-09T11:13:27.284451+00:00
1242,1775733300,BTC,,,,2026-04-09T11:18:21.975842+00:00,2026-04-09T11:22:42.306985+00:00,NO,0.6800,7.48,v10_DUNE_TRANSITION_T104_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-7.4800,,trigger,True,,2026-04-09T11:22:42.306985+00:00
1243,1775733600,BTC,,,,2026-04-09T11:23:13.156457+00:00,2026-04-09T11:27:49.192905+00:00,YES,0.6800,7.82,v10_DUNE_TRANSITION_T114_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-7.8200,,trigger,True,,2026-04-09T11:27:49.192905+00:00
1245,1775734500,BTC,,,,2026-04-09T11:38:13.486404+00:00,2026-04-09T11:43:08.038316+00:00,NO,0.6800,6.29,v10_DUNE_TRANSITION_T112_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-6.2900,,trigger,True,,2026-04-09T11:43:08.038316+00:00
1249,1775736300,BTC,,,,2026-04-09T12:08:25.900533+00:00,2026-04-09T12:13:47.390006+00:00,NO,0.6800,5.78,v10_DUNE_NORMAL_T100_FAK_CG+0.05,v10,,,,,,DUNE,,,,LOSS,-5.7800,,trigger,True,,2026-04-09T12:13:47.390006+00:00
1251,1775736900,BTC,,,,2026-04-09T12:17:26.567251+00:00,2026-04-09T12:22:59.829421+00:00,YES,0.6800,4.76,v10_DUNE_TRANSITION_T160_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-4.7600,,trigger,True,,2026-04-09T12:22:59.829421+00:00
1254,1775738700,BTC,,,,2026-04-09T12:48:21.759587+00:00,2026-04-09T12:57:06.908978+00:00,NO,0.6800,4.42,v10_DUNE_TRANSITION_T104_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,2.0800,,trigger,True,,2026-04-09T12:57:06.908978+00:00
1255,1775740200,BTC,,,,2026-04-09T13:13:26.186435+00:00,2026-04-09T13:17:39.129541+00:00,NO,0.6800,3.40,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T13:17:39.129541+00:00
1256,1775740500,BTC,,,,2026-04-09T13:18:25.984708+00:00,2026-04-09T13:22:32.479330+00:00,YES,0.6800,2.92,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T13:22:32.479330+00:00
1258,1775741700,BTC,,,,2026-04-09T13:37:36.269173+00:00,2026-04-09T13:44:00.417759+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T13:44:00.417759+00:00
1259,1775743500,BTC,,,,2026-04-09T14:08:25.438681+00:00,2026-04-09T14:12:32.511302+00:00,NO,0.6800,3.40,v10_DUNE_CALM_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T14:12:32.511302+00:00
1261,1775745600,BTC,,,,2026-04-09T14:42:35.987441+00:00,2026-04-09T14:47:21.120182+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T14:47:21.120182+00:00
1264,1775754300,BTC,,,,2026-04-09T17:08:26.528468+00:00,2026-04-09T18:08:21.301671+00:00,YES,0.6800,3.40,v10_DUNE_NORMAL_T100_FAK_CG+0.05,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T17:14:18.194991+00:00
1265,1775754600,BTC,,,,2026-04-09T17:13:27.194048+00:00,2026-04-09T18:14:28.974672+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T102_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T17:17:20.221422+00:00
1266,1775754900,BTC,,,,2026-04-09T17:17:38.038445+00:00,2026-04-09T18:17:31.577781+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T17:23:27.064689+00:00
1267,1775755200,BTC,,,,2026-04-09T17:22:44.170215+00:00,2026-04-09T18:23:36.741627+00:00,NO,0.6700,3.34,v10_DUNE_CASCADE_T148_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.5700,,trigger,True,,2026-04-09T17:29:35.302799+00:00
1268,1775755500,BTC,,,,2026-04-09T17:28:22.117636+00:00,2026-04-09T18:29:43.384719+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T104_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T17:32:37.157760+00:00
1269,1775756400,BTC,,,,2026-04-09T17:43:43.506746+00:00,2026-04-09T18:43:58.747087+00:00,YES,0.6800,3.40,v10_DUNE_CASCADE_T90_FAK_CG+0.05,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T17:46:52.404742+00:00
1275,1775759100,BTC,,,,2026-04-09T18:28:34.458577+00:00,2026-04-09T19:28:47.779978+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T98_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T18:33:47.623434+00:00
